,left_out_strain,hidden_dim,basal_dim,weight_decay_ae,weight_decay_p,weight_decay_c,lr_ae,lr_p,lr_c,lam,batch_size,num_epochs,r2_x,r2_p,acc_c,r2_dp,acc_dc
lso_0011,pTACmin,256,5,2.667194987654262e-07,8.090246126105737e-07,0.0,1.8395413087549195,1.4523727647156812,1.0,0.0015449258824813922,256,1000,0.41040990797502835,0.5742061940049868,1.0,-1.301300194339023,0.9519230769230769
lso_0011,wild-type,256,5,2.667194987654262e-07,8.090246126105737e-07,0.0,1.8395413087549195,1.4523727647156812,1.0,0.0015449258824813922,256,1000,-41.37398750354647,0.9763860848223582,1.0,-0.006783260808151133,0.2692307692307692
lso_0011,NAND_Circuit,256,5,2.667194987654262e-07,8.090246126105737e-07,0.0,1.8395413087549195,1.4523727647156812,1.0,0.0015449258824813922,256,1000,0.4989225955363064,-0.210351712255614,1.0,-2.0319844388859623,0.9532710280373832
lso_0011,pJ2007_PhlF,256,5,2.667194987654262e-07,8.090246126105737e-07,0.0,1.8395413087549195,1.4523727647156812,1.0,0.0015449258824813922,256,1000,0.6927586085357211,0.7592463550560322,1.0,-16.782457445315917,0.29245283018867924
lso_0011,IcaR_Gate,256,5,2.667194987654262e-07,8.090246126105737e-07,0.0,1.8395413087549195,1.4523727647156812,1.0,0.0015449258824813922,256,1000,0.5663958843480137,-0.5200203629749018,1.0,-3.840219468063299,0.5545454545454546
lso_0012,pBADmin,128,12,2.331571902558327e-08,6.74783524906081e-07,0.0,1.645761494905708,1.1397304402455901,1.0,0.0015031009320768112,64,1000,-59.56428374476334,0.8434187394285857,1.0,-1.148289576805568,0.8867924528301887
lso_0012,pJ2007_IcaR,128,12,2.331571902558327e-08,6.74783524906081e-07,0.0,1.645761494905708,1.1397304402455901,1.0,0.0015031009320768112,64,1000,-0.16201118948457824,0.7957448204020886,1.0,-99.38947884140062,0.11926605504587157
lso_0012,landing_pads,128,12,2.331571902558327e-08,6.74783524906081e-07,0.0,1.645761494905708,1.1397304402455901,1.0,0.0015031009320768112,64,1000,-41.12711953337275,0.7184507033217681,1.0,-0.3633287753501955,0.8155339805825242
lso_0012,PhlF_Gate,128,12,2.331571902558327e-08,6.74783524906081e-07,0.0,1.645761494905708,1.1397304402455901,1.0,0.0015031009320768112,64,1000,-63.00007798697351,0.8180325165264972,1.0,-2.656878969337734,0.4722222222222222
lso_0012,pTACmin,128,12,2.331571902558327e-08,6.74783524906081e-07,0.0,1.645761494905708,1.1397304402455901,1.0,0.0015031009320768112,64,1000,-1.449484985507042,0.5994913362075909,1.0,-1.3374173261635338,0.7692307692307693
lso_0012,wild-type,128,12,2.331571902558327e-08,6.74783524906081e-07,0.0,1.645761494905708,1.1397304402455901,1.0,0.0015031009320768112,64,1000,-34.6644887793792,0.997101463805884,1.0,0.0844355412947777,0.11538461538461539
lso_0012,NAND_Circuit,128,12,2.331571902558327e-08,6.74783524906081e-07,0.0,1.645761494905708,1.1397304402455901,1.0,0.0015031009320768112,64,1000,0.5495689549040379,0.7191786502168421,1.0,-3.0655472638075008,0.6448598130841121
